timestamp,ping,download_mps,upload_mps
2016-02-09 13:55:23,26.284,10.43,10.5
2016-02-09 13:58:01,25.066,11.67,11.36
2016-02-09 14:00:35,24.79,11.06,11.3
2016-02-09 14:03:12,25.885,11.71,11.76
2016-02-09 14:05:49,25.271,11.82,11.69
